team,elo
Ambazonia,1492.2800976864644
Mozambique,1491.404270873502
Somaliland,1491.2551172996132
Luhansk PR,1491.0604223596526
Finland,1490.630338024739
Saint Helena,1490.0
Ticino,1488.9109708197889
West Papua,1488.5985217137418
Romani people,1487.8312650891078
Ryūkyū,1487.5
Martinique,1484.5694158247838
Czechia,1483.5648234047596
Alderney,1483.0963336490147
Barawa,1481.9535229645264
Madagascar,1481.0499822779386
Jersey,1480.7275270137732
Lebanon,1480.506581233608
Saint Barthélemy,1479.7163815507845
Türkiye,1477.662126964306
Mayotte,1475.6354494404077
North Korea,1475.5502899689282
Zanzibar,1475.4579317804184
Monaco,1475.344956128014
Tibet,1472.778956380134
Tanzania,1472.4690765737032
Northern Mariana Islands,1470.6441587923132
Chechnya,1470.531140733773
Kuwait,1467.9183482678511
El Salvador,1465.925556647309
Chagos Islands,1463.6610552307743
Tahiti,1457.2837504302445
Guyana,1457.038263822348
Vatican City,1456.9848386629342
Fiji,1454.5561893268186
Vietnam,1453.3287608389596
Sierra Leone,1451.4121397402628
Togo,1449.3106945517168
Kenya,1448.4561291534606
Puerto Rico,1448.062669491335
Raetia,1446.8451419161436
Mauritania,1444.5996827371025
Belarus,1440.721889977831
Liberia,1439.6435098820425
Sudan,1437.8791714199
Equatorial Guinea,1437.354127055164
French Guiana,1437.3045497143107
Malawi,1435.6927745290975
Solomon Islands,1428.578579793599
Rwanda,1426.0286412172245
Turkmenistan,1425.3241108936136
Montenegro,1421.1996481052356
Vanuatu,1416.3874059855557
Bulgaria,1416.1173218743015
Zimbabwe,1415.3860520067776
Namibia,1403.5225961045162
Kazakhstan,1392.5771218798614
Lesotho,1380.0636752584164
Saint Martin,1377.9998448981448
Luxembourg,1376.9927768364123
Botswana,1376.6457626046663
Papua New Guinea,1375.336632101637
Armenia,1372.6396029788707
Ethiopia,1372.0505900250796
Guinea-Bissau,1371.8606396055727
Saint Vincent and the Grenadines,1366.1801717365502
Burundi,1363.5401861319278
Sint Maarten,1361.2073111010716
Grenada,1360.8488748239508
Yemen,1359.8021785055232
Bermuda,1358.493624984217
Singapore,1358.4599575323384
Faroe Islands,1356.5870193362828
Philippines,1354.07495466033
Cuba,1352.8652738137532
Bonaire,1346.778141086777
Congo,1344.1728635641657
Saint Kitts and Nevis,1334.5504228951447
India,1315.96356241464
Central African Republic,1314.291417041851
Hong Kong,1313.80170923448
Estonia,1312.2007568209797
Saint Lucia,1310.0023725706342
Azerbaijan,1308.058727871026
Belize,1303.489671569262
Eritrea,1298.5278883120266
Cyprus,1296.0837784250002
South Sudan,1289.6981000783453
Latvia,1280.4762671064034
Montserrat,1276.859698954002
Afghanistan,1275.3228582617755
Eswatini,1266.6555394804752
Lithuania,1266.3245234821095
Malta,1263.6924693862954
Tonga,1247.9699479661622
Aruba,1247.2290385857227
American Samoa,1246.562409774982
Dominica,1239.0440683415611
Chad,1238.578805028039
Moldova,1233.9823997618637
Samoa,1231.0890009328402
Barbados,1222.815499841963
Antigua and Barbuda,1219.3414403241595
Mauritius,1214.7816924025872
Bangladesh,1209.8559798252188
Myanmar,1202.3594234099191
Cook Islands,1196.303252122911
Mongolia,1193.356020767081
Cambodia,1183.9385658321994
Somalia,1180.7497048273883
São Tomé and Príncipe,1170.6503585361731
Maldives,1167.3203541439232
Sri Lanka,1166.0367490693989
Nepal,1162.6674401522475
Cayman Islands,1162.3869141605685
Bahamas,1152.5717736525526
Brunei,1135.4519025602965
Pakistan,1132.1504689691894
Taiwan,1127.6042260650531
Turks and Caicos Islands,1122.6524142205765
Guam,1119.7760642660617
Bhutan,1111.2116356163117
Djibouti,1103.9477324864508
British Virgin Islands,1086.1228638992106
Gibraltar,1072.7596856801292
Andorra,1069.9971949015578
Seychelles,1063.860462449596
United States Virgin Islands,1058.538355683764
Anguilla,1051.417633857483
Laos,1038.2708801108254
Macau,1017.4727005459551
Timor-Leste,1017.3264796871316
Liechtenstein,941.5512544736782
San Marino,867.7834453465375
